epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,906.747,1.15431,0.85636,1.29927,0.89718,0.91391,0.944,0.62437,1.2459,0.6493,1.4158,0.00121591,0.00121591,0.00121591
43,929.271,1.15256,0.83269,1.29931,0.87193,0.90697,0.93653,0.5752,1.31295,0.68492,1.45559,0.00120491,0.00120491,0.00120491
44,949.315,1.14125,0.86313,1.28484,0.89565,0.91149,0.94601,0.62573,1.23922,0.61257,1.40192,0.00119391,0.00119391,0.00119391
45,970.002,1.15735,0.84786,1.30809,0.88708,0.91881,0.94068,0.61656,1.22874,0.62454,1.39691,0.0011829,0.0011829,0.0011829
46,990.909,1.16149,0.86518,1.32545,0.83958,0.8592,0.87457,0.51114,1.53879,0.85863,1.61673,0.0011719,0.0011719,0.0011719
47,1012.2,1.13617,0.85478,1.31668,0.88504,0.8878,0.90347,0.61427,1.17664,0.72093,1.36422,0.0011609,0.0011609,0.0011609
48,1032.82,1.10915,0.81997,1.27973,0.88655,0.88756,0.90557,0.55395,1.39108,0.75383,1.5031,0.0011499,0.0011499,0.0011499
49,1054.71,1.13771,0.83786,1.30053,0.86101,0.90319,0.9198,0.60248,1.24083,0.72805,1.3861,0.00113889,0.00113889,0.00113889
50,1074.87,1.14865,0.82082,1.31324,0.88249,0.94539,0.95515,0.61105,1.295,0.59368,1.42328,0.00112789,0.00112789,0.00112789
51,1096.06,1.18203,0.87959,1.31563,0.9144,0.90743,0.93642,0.62519,1.19839,0.68933,1.36718,0.00111689,0.00111689,0.00111689
52,1117.96,1.12143,0.84525,1.29642,0.89041,0.94036,0.95454,0.62418,1.21935,0.60497,1.39642,0.00110589,0.00110589,0.00110589
53,1138.09,1.11786,0.79623,1.28378,0.90386,0.95925,0.96004,0.64223,1.20128,0.55367,1.36443,0.00109489,0.00109489,0.00109489
54,1161.63,1.11602,0.81143,1.27644,0.8668,0.93934,0.93321,0.63266,1.16569,0.57721,1.34491,0.00108388,0.00108388,0.00108388
55,1181.04,1.10597,0.84467,1.26568,0.90366,0.93491,0.95787,0.64586,1.18644,0.59745,1.37632,0.00107288,0.00107288,0.00107288
56,1204.59,1.10917,0.80806,1.2807,0.9219,0.90778,0.95132,0.62001,1.24809,0.59216,1.41599,0.00106188,0.00106188,0.00106188
57,1224.36,1.11441,0.82687,1.28045,0.91702,0.95895,0.95917,0.64225,1.18781,0.5807,1.37039,0.00105088,0.00105088,0.00105088
58,1248.67,1.07878,0.78422,1.25583,0.89028,0.86918,0.94067,0.63183,1.20036,0.69373,1.36323,0.00103987,0.00103987,0.00103987
59,1268.18,1.07056,0.76845,1.25316,0.91914,0.89185,0.93706,0.61527,1.19525,0.62204,1.37446,0.00102887,0.00102887,0.00102887
60,1288.3,1.0805,0.76254,1.25234,0.88253,0.93964,0.94569,0.61744,1.27438,0.59668,1.42369,0.00101787,0.00101787,0.00101787
61,1310.55,1.13282,0.797,1.29397,0.90878,0.87797,0.94666,0.61971,1.20283,0.59654,1.37362,0.00100687,0.00100687,0.00100687
62,1334.94,1.10445,0.80764,1.2762,0.90824,0.9185,0.94668,0.59014,1.28161,0.68396,1.46308,0.000995866,0.000995866,0.000995866
63,1354.16,1.08851,0.81227,1.2621,0.90375,0.9239,0.9495,0.60535,1.2547,0.62942,1.45411,0.000984864,0.000984864,0.000984864
64,1373.82,1.09494,0.78875,1.26452,0.90963,0.91759,0.94105,0.64004,1.15234,0.5991,1.33679,0.000973861,0.000973861,0.000973861
65,1397.41,1.08243,0.78426,1.24879,0.91463,0.91548,0.9498,0.63752,1.20515,0.54752,1.3707,0.000962859,0.000962859,0.000962859
66,1417.42,1.09054,0.75528,1.25693,0.91404,0.92862,0.95708,0.63074,1.20544,0.55701,1.39673,0.000951857,0.000951857,0.000951857
67,1439.18,1.08183,0.77291,1.24829,0.86693,0.90993,0.93608,0.64084,1.15078,0.58534,1.34651,0.000940855,0.000940855,0.000940855
68,1459.72,1.07961,0.75582,1.2595,0.91788,0.90725,0.95311,0.65314,1.129,0.56328,1.3159,0.000929853,0.000929853,0.000929853
69,1481.77,1.10653,0.78786,1.2722,0.89238,0.91366,0.92606,0.62403,1.22771,0.61556,1.35034,0.00091885,0.00091885,0.00091885
70,1503.7,1.05428,0.76009,1.24346,0.88378,0.91412,0.94216,0.6449,1.17615,0.60983,1.3321,0.000907848,0.000907848,0.000907848
71,1523.8,1.07852,0.75651,1.24536,0.89644,0.90288,0.93228,0.64135,1.15324,0.57213,1.32226,0.000896846,0.000896846,0.000896846
72,1548.52,1.07065,0.75791,1.24651,0.88647,0.91101,0.89715,0.57288,1.25627,0.70116,1.3977,0.000885844,0.000885844,0.000885844
73,1569,1.06597,0.77188,1.27484,0.92049,0.89308,0.9377,0.62925,1.20876,0.57022,1.37079,0.000874842,0.000874842,0.000874842
74,1588.79,1.06636,0.74515,1.24059,0.90851,0.90809,0.93531,0.61829,1.24713,0.57623,1.41437,0.000863839,0.000863839,0.000863839
75,1609.41,1.0544,0.77144,1.25954,0.91365,0.90443,0.94395,0.63987,1.16017,0.58287,1.33759,0.000852837,0.000852837,0.000852837
76,1630.96,1.04479,0.743,1.2225,0.88405,0.91172,0.93081,0.635,1.16132,0.64041,1.34923,0.000841835,0.000841835,0.000841835
77,1652.48,1.0707,0.77656,1.26313,0.92283,0.8832,0.95247,0.6367,1.20076,0.62869,1.3828,0.000830833,0.000830833,0.000830833
78,1673.75,1.05072,0.7583,1.25978,0.89642,0.91347,0.91719,0.54211,1.4544,0.864,1.5593,0.000819831,0.000819831,0.000819831
79,1694.95,1.03795,0.7415,1.22882,0.91257,0.88868,0.93218,0.6369,1.14836,0.6039,1.34672,0.000808828,0.000808828,0.000808828
80,1716.59,1.06061,0.75316,1.25742,0.90569,0.9059,0.93996,0.64732,1.16331,0.5683,1.33949,0.000797826,0.000797826,0.000797826
81,1736.82,1.05432,0.72714,1.24599,0.89903,0.92463,0.93755,0.6407,1.17001,0.57366,1.34612,0.000786824,0.000786824,0.000786824
82,1762.46,1.04217,0.72251,1.24354,0.91955,0.90399,0.9493,0.63342,1.22711,0.57069,1.39766,0.000775822,0.000775822,0.000775822
83,1782.24,1.05392,0.73873,1.25369,0.88459,0.93558,0.93737,0.63297,1.21759,0.5678,1.36144,0.00076482,0.00076482,0.00076482
84,1803.62,1.0514,0.75351,1.25707,0.91059,0.91155,0.94088,0.64646,1.15986,0.58226,1.34454,0.000753817,0.000753817,0.000753817
85,1824.81,1.03485,0.71957,1.22754,0.90507,0.92765,0.95924,0.65312,1.15421,0.55253,1.34137,0.000742815,0.000742815,0.000742815
86,1846.56,1.03388,0.7182,1.23157,0.92475,0.91016,0.94982,0.65742,1.13466,0.57219,1.33844,0.000731813,0.000731813,0.000731813
87,1867.36,1.03485,0.7227,1.22523,0.9217,0.89399,0.94125,0.65164,1.13831,0.62912,1.34056,0.000720811,0.000720811,0.000720811
88,1889.1,1.02822,0.71336,1.21634,0.91841,0.91409,0.94505,0.65965,1.13596,0.55991,1.34641,0.000709809,0.000709809,0.000709809
89,1909.84,1.03741,0.7263,1.21998,0.91695,0.91597,0.93542,0.64266,1.13749,0.57987,1.33649,0.000698806,0.000698806,0.000698806
